trial,pair_ID,condition,set_number,within_trial,pair_similarity
2,4,3,1,2,0.3846153846153846
3,4,3,1,3,0.46153846153846156
4,4,3,1,4,0.5384615384615384
5,4,3,1,5,0.6153846153846154
6,4,3,1,6,0.6153846153846154
7,4,3,1,7,0.7692307692307692
8,4,3,1,8,0.7692307692307692
9,4,3,2,1,0.46153846153846156
10,4,3,2,2,0.46153846153846156
11,4,3,2,3,0.5384615384615384
12,4,3,2,4,0.3846153846153846
13,4,3,2,5,0.5384615384615384
14,4,3,2,6,0.46153846153846156
15,4,3,2,7,0.5384615384615384
16,4,3,2,8,0.5384615384615384
1,5,3,1,1,0.5384615384615384
2,5,3,1,2,0.3846153846153846
3,5,3,1,3,0.3846153846153846
4,5,3,1,4,0.3076923076923077
5,5,3,1,5,0.46153846153846156
6,5,3,1,6,0.46153846153846156
7,5,3,1,7,0.46153846153846156
8,5,3,1,8,0.5384615384615384
9,5,3,2,1,0.5384615384615384
10,5,3,2,2,0.46153846153846156
11,5,3,2,3,0.3846153846153846
12,5,3,2,4,0.46153846153846156
13,5,3,2,5,0.3076923076923077
14,5,3,2,6,0.3846153846153846
15,5,3,2,7,0.23076923076923073
16,5,3,2,8,0.5384615384615384
1,6,3,1,1,0.3076923076923077
2,6,3,1,2,0.5384615384615384
3,6,3,1,3,0.5384615384615384
4,6,3,1,4,0.6153846153846154
5,6,3,1,5,0.6923076923076923
6,6,3,1,6,0.6923076923076923
7,6,3,1,7,1.0
8,6,3,1,8,1.0
9,6,3,2,1,0.3846153846153846
10,6,3,2,2,0.6153846153846154
11,6,3,2,3,0.8461538461538461
12,6,3,2,4,0.9230769230769231
13,6,3,2,5,0.9230769230769231
14,6,3,2,6,0.9230769230769231
15,6,3,2,7,0.9230769230769231
16,6,3,2,8,0.9230769230769231
1,7,3,1,1,0.46153846153846156
2,7,3,1,2,0.5384615384615384
3,7,3,1,3,0.46153846153846156
4,7,3,1,4,0.3846153846153846
5,7,3,1,5,0.5384615384615384
6,7,3,1,6,0.3846153846153846
7,7,3,1,7,0.5384615384615384
8,7,3,1,8,0.5384615384615384
9,7,3,2,1,0.5384615384615384
10,7,3,2,2,0.5384615384615384
11,7,3,2,3,0.5384615384615384
12,7,3,2,4,0.5384615384615384
13,7,3,2,5,0.5384615384615384
14,7,3,2,6,0.5384615384615384
15,7,3,2,7,0.23076923076923073
16,7,3,2,8,0.3846153846153846
1,8,3,1,1,0.3076923076923077
2,8,3,1,2,0.3076923076923077
3,8,3,1,3,0.3076923076923077
4,8,3,1,4,0.46153846153846156
5,8,3,1,5,0.3846153846153846
6,8,3,1,6,0.46153846153846156
7,8,3,1,7,0.46153846153846156
8,8,3,1,8,0.3846153846153846
9,8,3,2,1,0.3076923076923077
10,8,3,2,2,0.15384615384615385
11,8,3,2,3,0.46153846153846156
12,8,3,2,4,0.6153846153846154
13,8,3,2,5,0.6153846153846154
14,8,3,2,6,0.6923076923076923
15,8,3,2,7,0.6923076923076923
16,8,3,2,8,0.6923076923076923
1,9,3,1,1,0.46153846153846156
2,9,3,1,2,0.3846153846153846
3,9,3,1,3,0.3846153846153846
4,9,3,1,4,0.3076923076923077
5,9,3,1,5,0.3076923076923077
6,9,3,1,6,0.3076923076923077
7,9,3,1,7,0.3076923076923077
8,9,3,1,8,0.15384615384615385
9,9,3,2,1,0.3846153846153846
10,9,3,2,2,0.3076923076923077
11,9,3,2,3,0.5384615384615384
12,9,3,2,4,0.46153846153846156
13,9,3,2,5,0.3846153846153846
14,9,3,2,6,0.5384615384615384
15,9,3,2,7,0.5384615384615384
16,9,3,2,8,0.6153846153846154
1,10,3,1,1,0.3076923076923077
2,10,3,1,2,0.3076923076923077
3,10,3,1,3,0.46153846153846156
4,10,3,1,4,0.3846153846153846
5,10,3,1,5,0.46153846153846156
6,10,3,1,6,0.5384615384615384
7,10,3,1,7,0.5384615384615384
8,10,3,1,8,0.46153846153846156
9,10,3,2,1,0.3076923076923077
10,10,3,2,2,0.5384615384615384
11,10,3,2,3,0.46153846153846156
12,10,3,2,4,0.3846153846153846
13,10,3,2,5,0.46153846153846156
14,10,3,2,6,0.3846153846153846
15,10,3,2,7,0.6153846153846154
16,10,3,2,8,0.6923076923076923
1,11,3,1,1,0.15384615384615385
2,11,3,1,2,0.3846153846153846
3,11,3,1,3,0.46153846153846156
4,11,3,1,4,0.3076923076923077
5,11,3,1,5,0.5384615384615384
6,11,3,1,6,0.23076923076923073
7,11,3,1,7,0.5384615384615384
8,11,3,1,8,0.46153846153846156
9,11,3,2,1,0.3846153846153846
10,11,3,2,2,0.46153846153846156
11,11,3,2,3,0.3076923076923077
12,11,3,2,4,0.3076923076923077
13,11,3,2,5,0.46153846153846156
14,11,3,2,6,0.3846153846153846
15,11,3,2,7,0.46153846153846156
16,11,3,2,8,0.5384615384615384
1,12,3,1,1,0.23076923076923073
2,12,3,1,2,0.3846153846153846
3,12,3,1,3,0.3076923076923077
4,12,3,1,4,0.3076923076923077
5,12,3,1,5,0.3846153846153846
6,12,3,1,6,0.3076923076923077
7,12,3,1,7,0.3846153846153846
8,12,3,1,8,0.3076923076923077
9,12,3,2,1,0.46153846153846156
10,12,3,2,2,0.5384615384615384
11,12,3,2,3,0.46153846153846156
12,12,3,2,4,0.6923076923076923
13,12,3,2,5,0.5384615384615384
14,12,3,2,6,0.6153846153846154
15,12,3,2,7,0.6153846153846154
16,12,3,2,8,0.6153846153846154
1,13,3,1,1,0.23076923076923073
2,13,3,1,2,0.46153846153846156
3,13,3,1,3,0.3076923076923077
4,13,3,1,4,0.3846153846153846
5,13,3,1,5,0.3076923076923077
6,13,3,1,6,0.46153846153846156
7,13,3,1,7,0.3846153846153846
8,13,3,1,8,0.3846153846153846
9,13,3,2,1,0.3076923076923077
10,13,3,2,2,0.0
11,13,3,2,3,0.0
12,13,3,2,4,0.0
13,13,3,2,5,0.0
14,13,3,2,6,0.0
15,13,3,2,7,0.0
16,13,3,2,8,0.0
1,14,3,1,1,0.46153846153846156
2,14,3,1,2,0.46153846153846156
3,14,3,1,3,0.46153846153846156
4,14,3,1,4,0.6923076923076923
5,14,3,1,5,0.3076923076923077
6,14,3,1,6,0.6153846153846154
7,14,3,1,7,0.3846153846153846
8,14,3,1,8,0.46153846153846156
9,14,3,2,1,0.3076923076923077
10,14,3,2,2,0.3076923076923077
11,14,3,2,3,0.3846153846153846
12,14,3,2,4,0.46153846153846156
13,14,3,2,5,0.3846153846153846
14,14,3,2,6,0.3846153846153846
15,14,3,2,7,0.46153846153846156
16,14,3,2,8,0.23076923076923073
1,15,3,1,1,0.3076923076923077
2,15,3,1,2,0.5384615384615384
3,15,3,1,3,0.23076923076923073
4,15,3,1,4,0.23076923076923073
5,15,3,1,5,0.23076923076923073
6,15,3,1,6,0.3076923076923077
7,15,3,1,7,0.3076923076923077
8,15,3,1,8,0.3846153846153846
9,15,3,2,1,0.6923076923076923
10,15,3,2,2,0.3076923076923077
11,15,3,2,3,0.15384615384615385
