trial,pair_ID,condition,set_number,within_trial,pair_similarity
11,45,3,2,3,0.3846153846153846
12,45,3,2,4,0.5384615384615384
13,45,3,2,5,0.5384615384615384
14,45,3,2,6,0.5384615384615384
15,45,3,2,7,0.5384615384615384
16,45,3,2,8,0.6153846153846154
1,46,3,1,1,0.46153846153846156
2,46,3,1,2,0.3846153846153846
3,46,3,1,3,0.3076923076923077
4,46,3,1,4,0.5384615384615384
5,46,3,1,5,0.5384615384615384
6,46,3,1,6,0.46153846153846156
7,46,3,1,7,0.46153846153846156
8,46,3,1,8,0.6153846153846154
9,46,3,2,1,0.3846153846153846
10,46,3,2,2,0.6153846153846154
11,46,3,2,3,0.3846153846153846
12,46,3,2,4,0.3846153846153846
13,46,3,2,5,0.3076923076923077
14,46,3,2,6,0.46153846153846156
15,46,3,2,7,0.6153846153846154
16,46,3,2,8,0.6153846153846154
1,47,3,1,1,0.5384615384615384
2,47,3,1,2,0.3076923076923077
3,47,3,1,3,0.3846153846153846
4,47,3,1,4,0.46153846153846156
5,47,3,1,5,0.46153846153846156
6,47,3,1,6,0.46153846153846156
7,47,3,1,7,0.3076923076923077
8,47,3,1,8,0.46153846153846156
9,47,3,2,1,0.46153846153846156
10,47,3,2,2,0.6153846153846154
11,47,3,2,3,0.3846153846153846
12,47,3,2,4,0.46153846153846156
13,47,3,2,5,0.3846153846153846
14,47,3,2,6,0.6153846153846154
15,47,3,2,7,0.7692307692307692
16,47,3,2,8,0.3846153846153846
1,48,3,1,1,0.3846153846153846
2,48,3,1,2,0.3076923076923077
3,48,3,1,3,0.5384615384615384
4,48,3,1,4,0.46153846153846156
5,48,3,1,5,0.3846153846153846
6,48,3,1,6,0.7692307692307692
7,48,3,1,7,0.7692307692307692
8,48,3,1,8,0.5384615384615384
9,48,3,2,1,0.3846153846153846
10,48,3,2,2,0.3846153846153846
11,48,3,2,3,0.5384615384615384
12,48,3,2,4,0.5384615384615384
13,48,3,2,5,0.5384615384615384
14,48,3,2,6,0.3076923076923077
15,48,3,2,7,0.3846153846153846
16,48,3,2,8,0.8461538461538461
1,49,3,1,1,0.3076923076923077
2,49,3,1,2,0.3076923076923077
3,49,3,1,3,0.3076923076923077
4,49,3,1,4,0.3076923076923077
5,49,3,1,5,0.46153846153846156
6,49,3,1,6,0.23076923076923073
7,49,3,1,7,0.6153846153846154
8,49,3,1,8,0.5384615384615384
9,49,3,2,1,0.46153846153846156
10,49,3,2,2,0.5384615384615384
11,49,3,2,3,0.3846153846153846
12,49,3,2,4,0.3846153846153846
13,49,3,2,5,0.15384615384615385
14,49,3,2,6,0.15384615384615385
15,49,3,2,7,0.15384615384615385
16,49,3,2,8,0.23076923076923073
1,50,3,1,1,0.15384615384615385
2,50,3,1,2,0.3076923076923077
3,50,3,1,3,0.23076923076923073
4,50,3,1,4,0.15384615384615385
5,50,3,1,5,0.3076923076923077
6,50,3,1,6,0.3846153846153846
7,50,3,1,7,0.3076923076923077
8,50,3,1,8,0.3076923076923077
9,50,3,2,1,0.23076923076923073
10,50,3,2,2,0.5384615384615384
11,50,3,2,3,0.46153846153846156
12,50,3,2,4,0.3846153846153846
13,50,3,2,5,0.46153846153846156
14,50,3,2,6,0.46153846153846156
15,50,3,2,7,0.46153846153846156
16,50,3,2,8,0.5384615384615384
1,51,3,1,1,0.5384615384615384
2,51,3,1,2,0.3846153846153846
3,51,3,1,3,0.46153846153846156
4,51,3,1,4,0.3846153846153846
5,51,3,1,5,0.6153846153846154
6,51,3,1,6,0.46153846153846156
7,51,3,1,7,0.5384615384615384
8,51,3,1,8,0.3846153846153846
9,51,3,2,1,0.46153846153846156
10,51,3,2,2,0.46153846153846156
11,51,3,2,3,0.46153846153846156
12,51,3,2,4,0.3846153846153846
13,51,3,2,5,0.3846153846153846
14,51,3,2,6,0.3846153846153846
15,51,3,2,7,0.5384615384615384
16,51,3,2,8,0.6923076923076923
1,52,3,1,1,0.3076923076923077
2,52,3,1,2,0.07692307692307687
3,52,3,1,3,0.15384615384615385
4,52,3,1,4,0.0
5,52,3,1,5,0.0
6,52,3,1,6,0.0
7,52,3,1,7,0.0
8,52,3,1,8,0.0
9,52,3,2,1,0.5384615384615384
10,52,3,2,2,0.5384615384615384
11,52,3,2,3,0.46153846153846156
12,52,3,2,4,0.6153846153846154
13,52,3,2,5,0.6153846153846154
14,52,3,2,6,0.3846153846153846
15,52,3,2,7,0.46153846153846156
16,52,3,2,8,0.3846153846153846
1,53,3,1,1,0.3076923076923077
2,53,3,1,2,0.3846153846153846
3,53,3,1,3,0.46153846153846156
4,53,3,1,4,0.3076923076923077
5,53,3,1,5,0.46153846153846156
6,53,3,1,6,0.46153846153846156
7,53,3,1,7,0.46153846153846156
8,53,3,1,8,0.5384615384615384
9,53,3,2,1,0.23076923076923073
10,53,3,2,2,0.3846153846153846
11,53,3,2,3,0.3076923076923077
12,53,3,2,4,0.46153846153846156
13,53,3,2,5,0.6153846153846154
14,53,3,2,6,0.5384615384615384
15,53,3,2,7,0.5384615384615384
16,53,3,2,8,0.5384615384615384
1,54,3,1,1,0.15384615384615385
2,54,3,1,2,0.23076923076923073
3,54,3,1,3,0.3846153846153846
4,54,3,1,4,0.3846153846153846
5,54,3,1,5,0.3076923076923077
6,54,3,1,6,0.3846153846153846
7,54,3,1,7,0.3076923076923077
8,54,3,1,8,0.23076923076923073
9,54,3,2,1,0.3076923076923077
10,54,3,2,2,0.23076923076923073
11,54,3,2,3,0.23076923076923073
12,54,3,2,4,0.3846153846153846
13,54,3,2,5,0.3076923076923077
14,54,3,2,6,0.3076923076923077
15,54,3,2,7,0.3076923076923077
16,54,3,2,8,0.23076923076923073
1,55,3,1,1,0.3076923076923077
2,55,3,1,2,0.23076923076923073
3,55,3,1,3,0.46153846153846156
4,55,3,1,4,0.46153846153846156
5,55,3,1,5,0.6153846153846154
6,55,3,1,6,0.6923076923076923
7,55,3,1,7,0.6923076923076923
8,55,3,1,8,0.6923076923076923
9,55,3,2,1,0.46153846153846156
10,55,3,2,2,0.3846153846153846
11,55,3,2,3,0.46153846153846156
12,55,3,2,4,0.3846153846153846
13,55,3,2,5,0.3846153846153846
14,55,3,2,6,0.3846153846153846
15,55,3,2,7,0.3846153846153846
16,55,3,2,8,0.3846153846153846
1,56,3,1,1,0.3846153846153846
2,56,3,1,2,0.46153846153846156
3,56,3,1,3,0.3076923076923077
4,56,3,1,4,0.46153846153846156
5,56,3,1,5,0.46153846153846156
6,56,3,1,6,0.23076923076923073
7,56,3,1,7,0.3076923076923077
8,56,3,1,8,0.3846153846153846
9,56,3,2,1,0.3076923076923077
10,56,3,2,2,0.3076923076923077
11,56,3,2,3,0.3846153846153846
12,56,3,2,4,0.3846153846153846
13,56,3,2,5,0.3846153846153846
14,56,3,2,6,0.46153846153846156
15,56,3,2,7,0.5384615384615384
16,56,3,2,8,0.6153846153846154
1,57,3,1,1,0.23076923076923073
2,57,3,1,2,0.46153846153846156
3,57,3,1,3,0.46153846153846156
4,57,3,1,4,0.46153846153846156
5,57,3,1,5,0.46153846153846156
6,57,3,1,6,0.46153846153846156
7,57,3,1,7,0.6923076923076923
8,57,3,1,8,0.5384615384615384
9,57,3,2,1,0.3846153846153846
10,57,3,2,2,0.46153846153846156
11,57,3,2,3,0.3846153846153846
12,57,3,2,4,0.23076923076923073
13,57,3,2,5,0.46153846153846156
14,57,3,2,6,0.46153846153846156
15,57,3,2,7,0.3076923076923077
16,57,3,2,8,0.3846153846153846
1,58,3,1,1,0.23076923076923073
2,58,3,1,2,0.3076923076923077
3,58,3,1,3,0.3846153846153846
4,58,3,1,4,0.46153846153846156
5,58,3,1,5,0.6153846153846154
6,58,3,1,6,0.3846153846153846
7,58,3,1,7,0.3846153846153846
8,58,3,1,8,0.46153846153846156
9,58,3,2,1,0.3846153846153846
10,58,3,2,2,0.7692307692307692
11,58,3,2,3,0.6923076923076923
12,58,3,2,4,0.7692307692307692
13,58,3,2,5,0.6153846153846154
14,58,3,2,6,0.7692307692307692
15,58,3,2,7,0.8461538461538461
16,58,3,2,8,0.6923076923076923
1,59,3,1,1,0.3846153846153846
2,59,3,1,2,0.3076923076923077
3,59,3,1,3,0.23076923076923073
4,59,3,1,4,0.23076923076923073
5,59,3,1,5,0.23076923076923073
6,59,3,1,6,0.3076923076923077
7,59,3,1,7,0.23076923076923073
8,59,3,1,8,0.23076923076923073
9,59,3,2,1,0.3076923076923077
10,59,3,2,2,0.3076923076923077
11,59,3,2,3,0.3076923076923077
12,59,3,2,4,0.5384615384615384
13,59,3,2,5,0.3846153846153846
14,59,3,2,6,0.3076923076923077
15,59,3,2,7,0.3846153846153846
16,59,3,2,8,0.3076923076923077
1,60,3,1,1,0.3076923076923077
2,60,3,1,2,0.46153846153846156
3,60,3,1,3,0.46153846153846156
4,60,3,1,4,0.3846153846153846
5,60,3,1,5,0.46153846153846156
6,60,3,1,6,0.46153846153846156
7,60,3,1,7,0.46153846153846156
8,60,3,1,8,0.3846153846153846
9,60,3,2,1,0.3076923076923077
10,60,3,2,2,0.23076923076923073
11,60,3,2,3,0.3076923076923077
12,60,3,2,4,0.3076923076923077
13,60,3,2,5,0.3846153846153846
14,60,3,2,6,0.3846153846153846
15,60,3,2,7,0.3846153846153846
16,60,3,2,8,0.3076923076923077
1,61,3,1,1,0.3076923076923077
2,61,3,1,2,0.23076923076923073
3,61,3,1,3,0.3846153846153846
4,61,3,1,4,0.23076923076923073
5,61,3,1,5,0.3846153846153846
6,61,3,1,6,0.46153846153846156
7,61,3,1,7,0.3846153846153846
8,61,3,1,8,0.5384615384615384
9,61,3,2,1,0.46153846153846156
10,61,3,2,2,0.6153846153846154
11,61,3,2,3,0.7692307692307692
12,61,3,2,4,0.6923076923076923
13,61,3,2,5,0.6153846153846154
14,61,3,2,6,0.8461538461538461
15,61,3,2,7,0.7692307692307692
16,61,3,2,8,0.8461538461538461
1,62,3,1,1,0.3846153846153846
2,62,3,1,2,0.46153846153846156
3,62,3,1,3,0.46153846153846156
4,62,3,1,4,0.46153846153846156
5,62,3,1,5,0.6153846153846154
6,62,3,1,6,0.5384615384615384
7,62,3,1,7,0.7692307692307692
8,62,3,1,8,0.8461538461538461
9,62,3,2,1,0.3846153846153846
10,62,3,2,2,0.6923076923076923
11,62,3,2,3,0.46153846153846156
12,62,3,2,4,0.46153846153846156
13,62,3,2,5,0.5384615384615384
14,62,3,2,6,0.6923076923076923
15,62,3,2,7,0.6923076923076923
16,62,3,2,8,1.0
1,63,3,1,1,0.3076923076923077
2,63,3,1,2,0.3076923076923077
3,63,3,1,3,0.3846153846153846
4,63,3,1,4,0.3846153846153846
5,63,3,1,5,0.3846153846153846
6,63,3,1,6,0.3846153846153846
7,63,3,1,7,0.6923076923076923
8,63,3,1,8,0.46153846153846156
9,63,3,2,1,0.3076923076923077
10,63,3,2,2,0.3846153846153846
11,63,3,2,3,0.6153846153846154
12,63,3,2,4,0.3846153846153846
13,63,3,2,5,0.3076923076923077
14,63,3,2,6,0.23076923076923073
15,63,3,2,7,0.23076923076923073
16,63,3,2,8,0.15384615384615385
1,64,3,1,1,0.3076923076923077
2,64,3,1,2,0.3846153846153846
3,64,3,1,3,0.46153846153846156
4,64,3,1,4,0.3076923076923077
5,64,3,1,5,0.3846153846153846
6,64,3,1,6,0.46153846153846156
7,64,3,1,7,0.3076923076923077
8,64,3,1,8,0.3846153846153846
9,64,3,2,1,0.3076923076923077
10,64,3,2,2,0.3846153846153846
11,64,3,2,3,0.3076923076923077
12,64,3,2,4,0.3076923076923077
13,64,3,2,5,0.3076923076923077
14,64,3,2,6,0.3076923076923077
15,64,3,2,7,0.3846153846153846
16,64,3,2,8,0.3846153846153846
1,65,3,1,1,0.46153846153846156
2,65,3,1,2,0.3846153846153846
3,65,3,1,3,0.3846153846153846
4,65,3,1,4,0.3846153846153846
5,65,3,1,5,0.46153846153846156
6,65,3,1,6,0.5384615384615384
7,65,3,1,7,0.6923076923076923
8,65,3,1,8,0.7692307692307692
9,65,3,2,1,0.3846153846153846
10,65,3,2,2,0.46153846153846156
11,65,3,2,3,0.5384615384615384
12,65,3,2,4,0.5384615384615384
13,65,3,2,5,0.6153846153846154
14,65,3,2,6,0.6153846153846154
15,65,3,2,7,0.6153846153846154
16,65,3,2,8,0.6153846153846154
1,66,3,1,1,0.3846153846153846
2,66,3,1,2,0.3846153846153846
3,66,3,1,3,0.46153846153846156
4,66,3,1,4,0.3846153846153846
5,66,3,1,5,0.46153846153846156
6,66,3,1,6,0.5384615384615384
7,66,3,1,7,0.6153846153846154
8,66,3,1,8,0.5384615384615384
9,66,3,2,1,0.3076923076923077
10,66,3,2,2,0.3076923076923077
11,66,3,2,3,0.3846153846153846
12,66,3,2,4,0.6153846153846154
13,66,3,2,5,0.5384615384615384
14,66,3,2,6,0.5384615384615384
15,66,3,2,7,0.46153846153846156
16,66,3,2,8,0.3846153846153846
1,67,3,1,1,0.5384615384615384
2,67,3,1,2,0.3846153846153846
3,67,3,1,3,0.3076923076923077
4,67,3,1,4,0.6153846153846154
5,67,3,1,5,0.5384615384615384
6,67,3,1,6,0.5384615384615384
7,67,3,1,7,0.5384615384615384
8,67,3,1,8,0.3846153846153846
9,67,3,2,1,0.6153846153846154
10,67,3,2,2,0.5384615384615384
11,67,3,2,3,0.6153846153846154
12,67,3,2,4,0.3076923076923077
13,67,3,2,5,0.46153846153846156
14,67,3,2,6,0.5384615384615384
15,67,3,2,7,0.6153846153846154
16,67,3,2,8,0.6153846153846154
1,68,3,1,1,0.5384615384615384
2,68,3,1,2,0.6153846153846154
3,68,3,1,3,0.3076923076923077
4,68,3,1,4,0.46153846153846156
5,68,3,1,5,0.5384615384615384
6,68,3,1,6,0.5384615384615384
7,68,3,1,7,0.6153846153846154
8,68,3,1,8,0.6153846153846154
9,68,3,2,1,0.6153846153846154
10,68,3,2,2,0.6153846153846154
11,68,3,2,3,0.3076923076923077
12,68,3,2,4,0.23076923076923073
13,68,3,2,5,0.3846153846153846
14,68,3,2,6,0.6153846153846154
15,68,3,2,7,0.46153846153846156
16,68,3,2,8,0.5384615384615384
1,69,3,1,1,0.15384615384615385
2,69,3,1,2,0.3076923076923077
3,69,3,1,3,0.23076923076923073
4,69,3,1,4,0.23076923076923073
5,69,3,1,5,0.46153846153846156
6,69,3,1,6,0.3846153846153846
7,69,3,1,7,0.23076923076923073
8,69,3,1,8,0.3846153846153846
9,69,3,2,1,0.3076923076923077
10,69,3,2,2,0.3846153846153846
11,69,3,2,3,0.46153846153846156
12,69,3,2,4,0.6153846153846154
13,69,3,2,5,0.5384615384615384
14,69,3,2,6,0.5384615384615384
15,69,3,2,7,0.5384615384615384
16,69,3,2,8,0.6153846153846154
1,70,3,1,1,0.3846153846153846
2,70,3,1,2,0.3846153846153846
3,70,3,1,3,0.3076923076923077
4,70,3,1,4,0.46153846153846156
5,70,3,1,5,0.46153846153846156
6,70,3,1,6,0.6153846153846154
7,70,3,1,7,0.6923076923076923
8,70,3,1,8,0.6923076923076923
9,70,3,2,1,0.3076923076923077
10,70,3,2,2,0.3076923076923077
11,70,3,2,3,0.3846153846153846
12,70,3,2,4,0.5384615384615384
13,70,3,2,5,0.3846153846153846
14,70,3,2,6,0.46153846153846156
15,70,3,2,7,0.3846153846153846
16,70,3,2,8,0.46153846153846156
0,0,3,1,0,0.3846153846153846
0,0,3,2,0,0.46153846153846156
0,1,3,1,0,0.3846153846153846
0,1,3,2,0,0.23076923076923073
0,2,3,1,0,0.3846153846153846
0,2,3,2,0,0.6923076923076923
0,3,3,1,0,0.15384615384615385
0,3,3,2,0,0.3846153846153846
0,4,3,1,0,0.23076923076923073
0,4,3,2,0,0.3846153846153846
0,5,3,1,0,0.46153846153846156
0,5,3,2,0,0.15384615384615385
0,6,3,1,0,0.46153846153846156
0,6,3,2,0,0.3076923076923077
0,7,3,1,0,0.23076923076923073
0,7,3,2,0,0.3076923076923077
0,8,3,1,0,0.3076923076923077
0,8,3,2,0,0.46153846153846156
0,9,3,1,0,0.3076923076923077
0,9,3,2,0,0.3076923076923077
0,10,3,1,0,0.23076923076923073
0,10,3,2,0,0.23076923076923073
0,11,3,1,0,0.3076923076923077
0,11,3,2,0,0.46153846153846156
0,12,3,1,0,0.3076923076923077
0,12,3,2,0,0.3846153846153846
0,13,3,1,0,0.46153846153846156
0,13,3,2,0,0.3076923076923077
0,14,3,1,0,0.3846153846153846
0,14,3,2,0,0.23076923076923073
0,15,3,1,0,0.15384615384615385
0,15,3,2,0,0.3846153846153846
0,16,3,1,0,0.23076923076923073
0,16,3,2,0,0.3846153846153846
0,17,3,1,0,0.46153846153846156
0,17,3,2,0,0.15384615384615385
0,18,3,1,0,0.5384615384615384
0,18,3,2,0,0.23076923076923073
0,19,3,1,0,0.3076923076923077
0,19,3,2,0,0.3076923076923077
0,20,3,1,0,0.3076923076923077
0,20,3,2,0,0.3076923076923077
0,21,3,1,0,0.3076923076923077
0,21,3,2,0,0.15384615384615385
0,22,3,1,0,0.3846153846153846
0,22,3,2,0,0.5384615384615384
0,23,3,1,0,0.46153846153846156
0,23,3,2,0,0.3846153846153846
0,24,3,1,0,0.3076923076923077
0,24,3,2,0,0.15384615384615385
0,25,3,1,0,0.15384615384615385
0,25,3,2,0,0.3846153846153846
0,26,3,1,0,0.3076923076923077
0,26,3,2,0,0.3076923076923077
0,27,3,1,0,0.15384615384615385
0,27,3,2,0,0.23076923076923073
0,28,3,1,0,0.3846153846153846
0,28,3,2,0,0.46153846153846156
0,29,3,1,0,0.46153846153846156
0,29,3,2,0,0.46153846153846156
0,30,3,1,0,0.46153846153846156
0,30,3,2,0,0.23076923076923073
0,31,3,1,0,0.46153846153846156
0,31,3,2,0,0.3076923076923077
0,32,3,1,0,0.46153846153846156
0,32,3,2,0,0.23076923076923073
0,33,3,1,0,0.46153846153846156
0,33,3,2,0,0.15384615384615385
0,34,3,1,0,0.23076923076923073
0,34,3,2,0,0.23076923076923073
0,35,3,1,0,0.23076923076923073
0,35,3,2,0,0.3076923076923077
0,36,3,1,0,0.3846153846153846
0,36,3,2,0,0.23076923076923073
0,37,3,1,0,0.3846153846153846
0,37,3,2,0,0.3846153846153846
0,38,3,1,0,0.3076923076923077
0,38,3,2,0,0.3846153846153846
0,39,3,1,0,0.46153846153846156
0,39,3,2,0,0.46153846153846156
0,40,3,1,0,0.46153846153846156
0,40,3,2,0,0.3076923076923077
0,41,3,1,0,0.46153846153846156
0,41,3,2,0,0.3076923076923077
0,42,3,1,0,0.3076923076923077
0,42,3,2,0,0.23076923076923073
0,43,3,1,0,0.46153846153846156
0,43,3,2,0,0.23076923076923073
0,44,3,1,0,0.15384615384615385
0,44,3,2,0,0.23076923076923073
0,45,3,1,0,0.5384615384615384
0,45,3,2,0,0.3846153846153846
0,46,3,1,0,0.3846153846153846
0,46,3,2,0,0.46153846153846156
0,47,3,1,0,0.3846153846153846
0,47,3,2,0,0.46153846153846156
0,48,3,1,0,0.23076923076923073
0,48,3,2,0,0.5384615384615384
0,49,3,1,0,0.3846153846153846
0,49,3,2,0,0.3846153846153846
0,50,3,1,0,0.3076923076923077
0,50,3,2,0,0.23076923076923073
0,51,3,1,0,0.3846153846153846
0,51,3,2,0,0.23076923076923073
0,52,3,1,0,0.3846153846153846
0,52,3,2,0,0.46153846153846156
0,53,3,1,0,0.46153846153846156
0,53,3,2,0,0.3846153846153846
0,54,3,1,0,0.23076923076923073
0,54,3,2,0,0.3076923076923077
0,55,3,1,0,0.3846153846153846
0,55,3,2,0,0.3846153846153846
0,56,3,1,0,0.3846153846153846
0,56,3,2,0,0.3846153846153846
0,57,3,1,0,0.23076923076923073
0,57,3,2,0,0.23076923076923073
0,58,3,1,0,0.3846153846153846
0,58,3,2,0,0.3846153846153846
0,59,3,1,0,0.3846153846153846
0,59,3,2,0,0.23076923076923073
0,60,3,1,0,0.23076923076923073
0,60,3,2,0,0.3846153846153846
0,61,3,1,0,0.3076923076923077
0,61,3,2,0,0.23076923076923073
0,62,3,1,0,0.3076923076923077
0,62,3,2,0,0.3076923076923077
0,63,3,1,0,0.3076923076923077
0,63,3,2,0,0.46153846153846156
0,64,3,1,0,0.46153846153846156
0,64,3,2,0,0.3076923076923077
0,65,3,1,0,0.3846153846153846
0,65,3,2,0,0.3846153846153846
0,66,3,1,0,0.46153846153846156
0,66,3,2,0,0.23076923076923073
0,67,3,1,0,0.46153846153846156
0,67,3,2,0,0.46153846153846156
0,68,3,1,0,0.3846153846153846
0,68,3,2,0,0.3076923076923077
0,69,3,1,0,0.23076923076923073
0,69,3,2,0,0.3076923076923077
0,70,3,1,0,0.23076923076923073
0,70,3,2,0,0.23076923076923073
